Entity,Code,Year,Justice system (courts),Police,Civil services,Armed forces,Political parties,Government,Parliament,Justice system (courts) (Annotations),Police (Annotations),Civil services (Annotations),Armed forces (Annotations),Political parties (Annotations),Government (Annotations),Parliament (Annotations)
Nigeria,NGA,2004,,34.37191,68.59545,45.8457,42.68052,46.43917,42.97725,,,,,,,
Nigeria,NGA,2014,45.7956,29.93114,59.0378,64.42892,31.5549,37.93018,39.80677,,,,,,,
Nigeria,NGA,2022,43.14199,26.97814,46.49569,54.68174,32.63813,40.11448,33.27611,,,,,,,
North Macedonia,MKD,1998,22.61307,25.32663,17.68844,35.67839,10.65327,18.89447,14.67337,,,,,,,
North Macedonia,MKD,2004,,50.39748,16.37946,53.80981,9.307751,10.74196,6.883969,,,,,,,
North Macedonia,MKD,2010,37.328,59.09256,47.84785,72.36642,32.45893,50.40136,48.59896,,,,,,,
North Macedonia,MKD,2022,33.73228,54.11433,38.17587,63.63418,20.66542,25.7701,31.64557,,,,,,,
Northern Cyprus,OWID_CYN,2010,66.49381,80.60171,62.73256,91.22523,31.7964,45.95597,51.89436,,,,,,,
Northern Ireland,,1984,68.35278,83.79253,59.52827,76.43744,,,46.87156,,,,,,,
Northern Ireland,,1993,55.26316,79.60526,56.90789,77.96053,,,46.05263,,,,,,,
Northern Ireland,,2004,45.48737,61.37184,47.4278,53.61011,,,37.18412,,,,,,,
